
Upper bound 926 after 1 search tree nodes
MaschineNo   6 :   71  14  86  27  48   8  59  99  70  40 
MaschineNo   7 :    1  43  13  73  26  56  96  37  69  89 
MaschineNo   8 :   83  45  25  66   5  76  57  97  39  19 
MaschineNo   9 :   92  23  67   6  77  35  58  16  88  50 
MaschineNo  10 :   31  12  44  65  55  87  78  29  98  10 

Upper bound 848 after 213 search tree nodes
MaschineNo   1 :   82   2  24  63  53  46  15  75  38 100 
MaschineNo   2 :   81  61  22  51  32  74  95   7  49  20 
MaschineNo   3 :   42  93  64  54  36  30  18   9  79  90 
MaschineNo   4 :   41  11  62  72  94   4  85  34  28  60 
MaschineNo   5 :   91  21  52   3  84  33  47  68  17  80 
MaschineNo   6 :   71  14  27  86  48   8  59  99  70  40 
MaschineNo   7 :    1  43  13  73  26  56  96  37  69  89 
MaschineNo   8 :   83  45  25  66   5  57  76  97  19  39 
MaschineNo   9 :   92  23  67   6  16  35  58  77  88  50 
MaschineNo  10 :   31  12  44  65  55  29  87  98  78  10 
